Time (s),CPU (%),MEM (KB),Bandwidth (KB/s),Bandwidth Utilization (%),Open Sockets,exp_dir,experiment,categories,rps
407,1160.0,13258964,164637.0,12.86,45,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
412,1151.0,13432028,168314.0,13.15,41,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
417,1123.0,13604876,176153.0,13.76,39,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
422,1193.0,13783320,158916.0,12.42,44,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
428,1179.0,13951064,163167.0,12.75,40,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
433,1180.0,14124732,160620.0,12.55,43,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
438,1149.0,14294572,169686.0,13.26,40,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
443,1183.0,14468428,161686.0,12.63,45,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
449,1157.0,14639188,164831.0,12.88,41,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
454,1231.0,14810088,152136.0,11.89,46,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
459,1179.0,14976292,159301.0,12.45,44,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
464,1181.0,15145848,158105.0,12.35,43,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
469,1200.0,15314396,152637.0,11.92,44,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
475,1204.0,15479176,155336.0,12.14,47,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
480,127.5,15648008,9968.64,0.78,45,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
0,1153.0,24900,145894.0,11.4,47,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
5,1143.0,206856,146843.0,11.47,47,experiments/oha/oha-3,oha-3,['time-based-rps-increase'],172160.6277
