Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1730525834,40,GET,/,14805.700000,0.000000,1,1,2,2,2,2,2,3,5,86,89,488389,0,1,1.0238228990637637,0.24818100064294413,115.8428160015319,612.0
1730525834,40,,Aggregated,14805.700000,0.000000,1,1,2,2,2,2,2,3,5,86,89,488389,0,1,1.0238228990637637,0.24818100064294413,115.8428160015319,612.0
1730525835,41,GET,/,14910.100000,0.000000,1,1,2,2,2,2,2,3,6,86,89,533770,0,1,1.069384992393462,0.24818100064294413,115.8428160015319,612.0
1730525835,41,,Aggregated,14910.100000,0.000000,1,1,2,2,2,2,2,3,6,86,89,533770,0,1,1.069384992393462,0.24818100064294413,115.8428160015319,612.0
1730525836,42,GET,/,14910.100000,0.000000,1,1,2,2,2,2,2,3,6,86,89,533770,0,1,1.069384992393462,0.24818100064294413,115.8428160015319,612.0
1730525836,42,,Aggregated,14910.100000,0.000000,1,1,2,2,2,2,2,3,6,86,89,533770,0,1,1.069384992393462,0.24818100064294413,115.8428160015319,612.0
1730525837,43,GET,/,14910.100000,0.000000,1,1,2,2,2,2,2,3,6,86,89,533770,0,1,1.069384992393462,0.24818100064294413,115.8428160015319,612.0
1730525837,43,,Aggregated,14910.100000,0.000000,1,1,2,2,2,2,2,3,6,86,89,533770,0,1,1.069384992393462,0.24818100064294413,115.8428160015319,612.0
1730525838,44,GET,/,15028.800000,0.000000,1,1,2,2,2,2,3,4,6,86,89,579553,0,1,1.1144188767596694,0.24818100064294413,115.8428160015319,612.0
1730525838,44,,Aggregated,15028.800000,0.000000,1,1,2,2,2,2,3,4,6,86,89,579553,0,1,1.1144188767596694,0.24818100064294413,115.8428160015319,612.0
1730525839,45,GET,/,15028.800000,0.000000,1,1,2,2,2,2,3,4,6,86,89,579553,0,1,1.1144188767596694,0.24818100064294413,115.8428160015319,612.0
1730525839,45,,Aggregated,15028.800000,0.000000,1,1,2,2,2,2,3,4,6,86,89,579553,0,1,1.1144188767596694,0.24818100064294413,115.8428160015319,612.0
1730525840,46,GET,/,15028.800000,0.000000,1,1,2,2,2,2,3,4,6,86,89,579553,0,1,1.1144188767596694,0.24818100064294413,115.8428160015319,612.0
1730525840,46,,Aggregated,15028.800000,0.000000,1,1,2,2,2,2,3,4,6,86,89,579553,0,1,1.1144188767596694,0.24818100064294413,115.8428160015319,612.0
1730525841,47,GET,/,15141.100000,0.000000,1,1,2,2,2,3,3,4,6,86,92,625457,0,1,1.1606969936394598,0.24818100064294413,115.8428160015319,612.0
1730525841,47,,Aggregated,15141.100000,0.000000,1,1,2,2,2,3,3,4,6,86,92,625457,0,1,1.1606969936394598,0.24818100064294413,115.8428160015319,612.0
1730525842,48,GET,/,15141.100000,0.000000,1,1,2,2,2,3,3,4,6,86,92,625457,0,1,1.1606969936394598,0.24818100064294413,115.8428160015319,612.0
1730525842,48,,Aggregated,15141.100000,0.000000,1,1,2,2,2,3,3,4,6,86,92,625457,0,1,1.1606969936394598,0.24818100064294413,115.8428160015319,612.0
1730525843,49,GET,/,15141.100000,0.000000,1,1,2,2,2,3,3,4,6,86,92,625457,0,1,1.1606969936394598,0.24818100064294413,115.8428160015319,612.0
1730525843,49,,Aggregated,15141.100000,0.000000,1,1,2,2,2,3,3,4,6,86,92,625457,0,1,1.1606969936394598,0.24818100064294413,115.8428160015319,612.0
1730525844,50,GET,/,15235.000000,0.000000,1,2,2,2,3,3,3,4,7,86,92,671768,0,1,1.2064062477929276,0.24818100064294413,115.8428160015319,612.0
1730525844,50,,Aggregated,15235.000000,0.000000,1,2,2,2,3,3,3,4,7,86,92,671768,0,1,1.2064062477929276,0.24818100064294413,115.8428160015319,612.0
1730525845,51,GET,/,15235.000000,0.000000,1,2,2,2,3,3,3,4,7,86,92,671768,0,1,1.2064062477929276,0.24818100064294413,115.8428160015319,612.0
1730525845,51,,Aggregated,15235.000000,0.000000,1,2,2,2,3,3,3,4,7,86,92,671768,0,1,1.2064062477929276,0.24818100064294413,115.8428160015319,612.0
